	measure	Group1	Group2	pvalue	corrected
1335	o__Lactobacillales	12_wt	9_wt	0.6999	1
1336	o__Lactobacillales	5_cre	5_wt	1	1
1337	o__Lactobacillales	5_cre	7_cre	1	1
1338	o__Lactobacillales	5_cre	7_wt	0.4621	1
1339	o__Lactobacillales	5_cre	9_cre	1	1
1340	o__Lactobacillales	5_cre	9_wt	0.7152	1
1341	o__Lactobacillales	5_wt	7_cre	1	1
1342	o__Lactobacillales	5_wt	7_wt	0.7104	1
1343	o__Lactobacillales	5_wt	9_cre	1	1
1344	o__Lactobacillales	5_wt	9_wt	1	1
1345	o__Lactobacillales	7_cre	7_wt	0.4621	1
1346	o__Lactobacillales	7_cre	9_cre	1	1
1347	o__Lactobacillales	7_cre	9_wt	0.7152	1
1348	o__Lactobacillales	7_wt	9_cre	0.4621	1
1349	o__Lactobacillales	7_wt	9_wt	1	1
1350	o__Lactobacillales	9_cre	9_wt	0.7152	1
1351	o__unknown_ Alphaproteobacteria	10_cre	10_wt	0.3295	1
1352	o__unknown_ Alphaproteobacteria	10_cre	12_cre	0.6513	1
1353	o__unknown_ Alphaproteobacteria	10_cre	12_wt	0.0996	1
1354	o__unknown_ Alphaproteobacteria	10_cre	5_cre	0.3295	1
1355	o__unknown_ Alphaproteobacteria	10_cre	5_wt	0.3295	1
1356	o__unknown_ Alphaproteobacteria	10_cre	7_cre	1	1
1357	o__unknown_ Alphaproteobacteria	10_cre	7_wt	0.3295	1
1358	o__unknown_ Alphaproteobacteria	10_cre	9_cre	1	1
1359	o__unknown_ Alphaproteobacteria	10_cre	9_wt	1	1
1360	o__unknown_ Alphaproteobacteria	10_wt	12_cre	1	1
1361	o__unknown_ Alphaproteobacteria	10_wt	12_wt	1	1
1362	o__unknown_ Alphaproteobacteria	10_wt	5_cre	1	1
1363	o__unknown_ Alphaproteobacteria	10_wt	5_wt	1	1
1364	o__unknown_ Alphaproteobacteria	10_wt	7_cre	0.5977	1
1365	o__unknown_ Alphaproteobacteria	10_wt	7_wt	1	1
1366	o__unknown_ Alphaproteobacteria	10_wt	9_cre	0.3295	1
1367	o__unknown_ Alphaproteobacteria	10_wt	9_wt	0.5977	1
1368	o__unknown_ Alphaproteobacteria	12_cre	12_wt	0.4828	1
1369	o__unknown_ Alphaproteobacteria	12_cre	5_cre	1	1
1370	o__unknown_ Alphaproteobacteria	12_cre	5_wt	1	1
1371	o__unknown_ Alphaproteobacteria	12_cre	7_cre	1	1
1372	o__unknown_ Alphaproteobacteria	12_cre	7_wt	1	1
1373	o__unknown_ Alphaproteobacteria	12_cre	9_cre	0.6513	1
1374	o__unknown_ Alphaproteobacteria	12_cre	9_wt	1	1
1375	o__unknown_ Alphaproteobacteria	12_wt	5_cre	1	1
1376	o__unknown_ Alphaproteobacteria	12_wt	5_wt	1	1
1377	o__unknown_ Alphaproteobacteria	12_wt	7_cre	0.2241	1
1378	o__unknown_ Alphaproteobacteria	12_wt	7_wt	1	1
1379	o__unknown_ Alphaproteobacteria	12_wt	9_cre	0.0996	1
1380	o__unknown_ Alphaproteobacteria	12_wt	9_wt	0.2241	1
1381	o__unknown_ Alphaproteobacteria	5_cre	5_wt	1	1
1382	o__unknown_ Alphaproteobacteria	5_cre	7_cre	0.5977	1
1383	o__unknown_ Alphaproteobacteria	5_cre	7_wt	1	1
1384	o__unknown_ Alphaproteobacteria	5_cre	9_cre	0.3295	1
1385	o__unknown_ Alphaproteobacteria	5_cre	9_wt	0.5977	1
1386	o__unknown_ Alphaproteobacteria	5_wt	7_cre	0.5977	1
1387	o__unknown_ Alphaproteobacteria	5_wt	7_wt	1	1
1388	o__unknown_ Alphaproteobacteria	5_wt	9_cre	0.3295	1
1389	o__unknown_ Alphaproteobacteria	5_wt	9_wt	0.5977	1
1390	o__unknown_ Alphaproteobacteria	7_cre	7_wt	0.5977	1
1391	o__unknown_ Alphaproteobacteria	7_cre	9_cre	1	1
1392	o__unknown_ Alphaproteobacteria	7_cre	9_wt	1	1
1393	o__unknown_ Alphaproteobacteria	7_wt	9_cre	0.3295	1
1394	o__unknown_ Alphaproteobacteria	7_wt	9_wt	0.5977	1
1395	o__unknown_ Alphaproteobacteria	9_cre	9_wt	1	1
1396	o__unknown_ Bacteria	10_cre	10_wt	0.6817	1
1397	o__unknown_ Bacteria	10_cre	12_cre	1	1
1398	o__unknown_ Bacteria	10_cre	12_wt	0.3898	1
