	measure	Group1	Group2	pvalue	corrected
452	OTU_62	5_wt	7_wt	NA	NA
453	OTU_62	5_wt	9_cre	1	1
454	OTU_62	5_wt	9_wt	NA	NA
455	OTU_62	7_cre	7_wt	NA	NA
456	OTU_62	7_cre	9_cre	1	1
457	OTU_62	7_cre	9_wt	NA	NA
458	OTU_62	7_wt	9_cre	NA	NA
459	OTU_62	7_wt	9_wt	NA	NA
460	OTU_62	9_cre	9_wt	NA	NA
461	OTU_64	 -	- 	0.0239	0.0854
462	OTU_64	10_cre	10_wt	NA	NA
463	OTU_64	10_cre	12_cre	1	1
464	OTU_64	10_cre	12_wt	0.5	1
465	OTU_64	10_cre	5_cre	NA	NA
466	OTU_64	10_cre	5_wt	1	1
467	OTU_64	10_cre	7_cre	NA	NA
468	OTU_64	10_cre	7_wt	0.5	1
469	OTU_64	10_cre	9_cre	0.5	1
470	OTU_64	10_cre	9_wt	0.5	1
471	OTU_64	10_wt	12_cre	NA	NA
472	OTU_64	10_wt	12_wt	NA	NA
473	OTU_64	10_wt	5_cre	NA	NA
474	OTU_64	10_wt	5_wt	1	1
475	OTU_64	10_wt	7_cre	NA	NA
476	OTU_64	10_wt	7_wt	NA	NA
477	OTU_64	10_wt	9_cre	NA	NA
478	OTU_64	10_wt	9_wt	1	1
479	OTU_64	12_cre	12_wt	1	1
480	OTU_64	12_cre	5_cre	NA	NA
481	OTU_64	12_cre	5_wt	NA	NA
482	OTU_64	12_cre	7_cre	NA	NA
483	OTU_64	12_cre	7_wt	1	1
484	OTU_64	12_cre	9_cre	NA	NA
485	OTU_64	12_cre	9_wt	1	1
486	OTU_64	12_wt	5_cre	NA	NA
487	OTU_64	12_wt	5_wt	1	1
488	OTU_64	12_wt	7_cre	NA	NA
489	OTU_64	12_wt	7_wt	0.5	1
490	OTU_64	12_wt	9_cre	1	1
491	OTU_64	12_wt	9_wt	0.5	1
492	OTU_64	5_cre	5_wt	NA	NA
493	OTU_64	5_cre	7_cre	NA	NA
494	OTU_64	5_cre	7_wt	NA	NA
495	OTU_64	5_cre	9_cre	NA	NA
496	OTU_64	5_cre	9_wt	NA	NA
497	OTU_64	5_wt	7_cre	NA	NA
498	OTU_64	5_wt	7_wt	NA	NA
499	OTU_64	5_wt	9_cre	1	1
500	OTU_64	5_wt	9_wt	0.5	1
501	OTU_64	7_cre	7_wt	NA	NA
502	OTU_64	7_cre	9_cre	1	1
503	OTU_64	7_cre	9_wt	NA	NA
504	OTU_64	7_wt	9_cre	1	1
505	OTU_64	7_wt	9_wt	0.5	1
506	OTU_64	9_cre	9_wt	1	1
507	OTU_56	 -	- 	0.0066	0.033
508	OTU_56	10_cre	10_wt	NA	NA
509	OTU_56	10_cre	12_cre	NA	NA
510	OTU_56	10_cre	12_wt	1	1
511	OTU_56	10_cre	5_cre	NA	NA
512	OTU_56	10_cre	5_wt	1	1
513	OTU_56	10_cre	7_cre	NA	NA
514	OTU_56	10_cre	7_wt	NA	NA
515	OTU_56	10_cre	9_cre	1	1
516	OTU_56	10_cre	9_wt	NA	NA
517	OTU_56	10_wt	12_cre	NA	NA
518	OTU_56	10_wt	12_wt	NA	NA
519	OTU_56	10_wt	5_cre	NA	NA
520	OTU_56	10_wt	5_wt	NA	NA
521	OTU_56	10_wt	7_cre	NA	NA
522	OTU_56	10_wt	7_wt	NA	NA
523	OTU_56	10_wt	9_cre	NA	NA
524	OTU_56	10_wt	9_wt	NA	NA
525	OTU_56	12_cre	12_wt	NA	NA
526	OTU_56	12_cre	5_cre	NA	NA
527	OTU_56	12_cre	5_wt	NA	NA
528	OTU_56	12_cre	7_cre	NA	NA
529	OTU_56	12_cre	7_wt	NA	NA
