	measure	Group1	Group2	pvalue	corrected
425	OTU_39	12_cre	5_wt	0.0996	0.1949
426	OTU_39	12_cre	7_cre	0.6999	1
427	OTU_39	12_cre	7_wt	0.3295	0.5931
428	OTU_39	12_cre	9_cre	0.4497	0.7495
429	OTU_39	12_cre	9_wt	0.0996	0.1949
430	OTU_39	12_wt	5_cre	0.0801	0.1802
431	OTU_39	12_wt	5_wt	1	1
432	OTU_39	12_wt	7_cre	0.0801	0.1802
433	OTU_39	12_wt	7_wt	1	1
434	OTU_39	12_wt	9_cre	0.0352	0.099
435	OTU_39	12_wt	9_wt	1	1
436	OTU_39	5_cre	5_wt	0.0169	0.0634
437	OTU_39	5_cre	7_cre	1	1
438	OTU_39	5_cre	7_wt	0.0801	0.1802
439	OTU_39	5_cre	9_cre	1	1
440	OTU_39	5_cre	9_wt	0.0169	0.0634
441	OTU_39	5_wt	7_cre	0.0169	0.0634
442	OTU_39	5_wt	7_wt	1	1
443	OTU_39	5_wt	9_cre	0.0063	0.0472
444	OTU_39	5_wt	9_wt	1	1
445	OTU_39	7_cre	7_wt	0.0801	0.1802
446	OTU_39	7_cre	9_cre	1	1
447	OTU_39	7_cre	9_wt	0.0169	0.0634
448	OTU_39	7_wt	9_cre	0.0352	0.099
449	OTU_39	7_wt	9_wt	1	1
450	OTU_39	9_cre	9_wt	0.0063	0.0472
451	OTU_23	10_cre	10_wt	0.0352	0.792
452	OTU_23	10_cre	12_cre	0.7104	1
453	OTU_23	10_cre	12_wt	0.7104	1
454	OTU_23	10_cre	5_cre	1	1
455	OTU_23	10_cre	5_wt	0.7104	1
456	OTU_23	10_cre	7_cre	0.4497	1
457	OTU_23	10_cre	7_wt	0.2451	1
458	OTU_23	10_cre	9_cre	1	1
459	OTU_23	10_cre	9_wt	0.2451	1
460	OTU_23	10_wt	12_cre	0.1686	0.9484
461	OTU_23	10_wt	12_wt	0.1686	0.9484
462	OTU_23	10_wt	5_cre	0.0801	0.9484
463	OTU_23	10_wt	5_wt	0.1686	0.9484
464	OTU_23	10_wt	7_cre	0.3295	1
465	OTU_23	10_wt	7_wt	0.5977	1
466	OTU_23	10_wt	9_cre	0.0142	0.639
467	OTU_23	10_wt	9_wt	0.5977	1
468	OTU_23	12_cre	12_wt	1	1
469	OTU_23	12_cre	5_cre	1	1
470	OTU_23	12_cre	5_wt	1	1
471	OTU_23	12_cre	7_cre	1	1
472	OTU_23	12_cre	7_wt	0.6817	1
473	OTU_23	12_cre	9_cre	0.4621	1
474	OTU_23	12_cre	9_wt	0.6817	1
475	OTU_23	12_wt	5_cre	1	1
476	OTU_23	12_wt	5_wt	1	1
477	OTU_23	12_wt	7_cre	1	1
478	OTU_23	12_wt	7_wt	0.6817	1
479	OTU_23	12_wt	9_cre	0.4621	1
480	OTU_23	12_wt	9_wt	0.6817	1
481	OTU_23	5_cre	5_wt	1	1
482	OTU_23	5_cre	7_cre	0.6999	1
483	OTU_23	5_cre	7_wt	0.427	1
484	OTU_23	5_cre	9_cre	0.7152	1
485	OTU_23	5_cre	9_wt	0.427	1
486	OTU_23	5_wt	7_cre	1	1
487	OTU_23	5_wt	7_wt	0.6817	1
488	OTU_23	5_wt	9_cre	0.4621	1
489	OTU_23	5_wt	9_wt	0.6817	1
490	OTU_23	7_cre	7_wt	1	1
491	OTU_23	7_cre	9_cre	0.2635	1
492	OTU_23	7_cre	9_wt	1	1
493	OTU_23	7_wt	9_cre	0.1281	0.9484
494	OTU_23	7_wt	9_wt	1	1
495	OTU_23	9_cre	9_wt	0.1281	0.9484
496	OTU_9	10_cre	10_wt	0.2451	1
497	OTU_9	10_cre	12_cre	0.7104	1
498	OTU_9	10_cre	12_wt	0.7104	1
499	OTU_9	10_cre	5_cre	1	1
500	OTU_9	10_cre	5_wt	1	1
501	OTU_9	10_cre	7_cre	1	1
502	OTU_9	10_cre	7_wt	0.7104	1
503	OTU_9	10_cre	9_cre	1	1
504	OTU_9	10_cre	9_wt	1	1
505	OTU_9	10_wt	12_cre	0.6817	1
506	OTU_9	10_wt	12_wt	0.6817	1
507	OTU_9	10_wt	5_cre	0.1281	1
508	OTU_9	10_wt	5_wt	0.427	1
509	OTU_9	10_wt	7_cre	0.1281	1
510	OTU_9	10_wt	7_wt	0.6817	1
511	OTU_9	10_wt	9_cre	0.1281	1
512	OTU_9	10_wt	9_wt	0.2451	1
513	OTU_9	12_cre	12_wt	1	1
514	OTU_9	12_cre	5_cre	0.4621	1
515	OTU_9	12_cre	5_wt	1	1
516	OTU_9	12_cre	7_cre	0.4621	1
517	OTU_9	12_cre	7_wt	1	1
518	OTU_9	12_cre	9_cre	0.4621	1
519	OTU_9	12_cre	9_wt	0.7104	1
520	OTU_9	12_wt	5_cre	0.4621	1
521	OTU_9	12_wt	5_wt	1	1
522	OTU_9	12_wt	7_cre	0.4621	1
523	OTU_9	12_wt	7_wt	1	1
524	OTU_9	12_wt	9_cre	0.4621	1
525	OTU_9	12_wt	9_wt	0.7104	1
526	OTU_9	5_cre	5_wt	0.7152	1
527	OTU_9	5_cre	7_cre	1	1
528	OTU_9	5_cre	7_wt	0.4621	1
529	OTU_9	5_cre	9_cre	1	1
530	OTU_9	5_cre	9_wt	1	1
531	OTU_9	5_wt	7_cre	0.7152	1
532	OTU_9	5_wt	7_wt	1	1
533	OTU_9	5_wt	9_cre	0.7152	1
534	OTU_9	5_wt	9_wt	1	1
535	OTU_9	7_cre	7_wt	0.4621	1
536	OTU_9	7_cre	9_cre	1	1
537	OTU_9	7_cre	9_wt	1	1
538	OTU_9	7_wt	9_cre	0.4621	1
539	OTU_9	7_wt	9_wt	0.7104	1
540	OTU_9	9_cre	9_wt	1	1
541	OTU_20	10_cre	10_wt	1	1
542	OTU_20	10_cre	12_cre	1	1
543	OTU_20	10_cre	12_wt	1	1
544	OTU_20	10_cre	5_cre	1	1
545	OTU_20	10_cre	5_wt	0.4497	1
546	OTU_20	10_cre	7_cre	1	1
547	OTU_20	10_cre	7_wt	1	1
548	OTU_20	10_cre	9_cre	0.6999	1
549	OTU_20	10_cre	9_wt	1	1
550	OTU_20	10_wt	12_cre	0.6817	1
551	OTU_20	10_wt	12_wt	0.6817	1
552	OTU_20	10_wt	5_cre	0.6817	1
553	OTU_20	10_wt	5_wt	0.2451	1
554	OTU_20	10_wt	7_cre	0.6817	1
555	OTU_20	10_wt	7_wt	0.6817	1
556	OTU_20	10_wt	9_cre	0.427	1
557	OTU_20	10_wt	9_wt	1	1
558	OTU_20	12_cre	12_wt	1	1
559	OTU_20	12_cre	5_cre	1	1
560	OTU_20	12_cre	5_wt	0.7104	1
561	OTU_20	12_cre	7_cre	1	1
562	OTU_20	12_cre	7_wt	1	1
563	OTU_20	12_cre	9_cre	1	1
564	OTU_20	12_cre	9_wt	1	1
565	OTU_20	12_wt	5_cre	1	1
